#Telkomsel
telkomsel.com 43.255.199.21
my.telkomsel.com 108.136.172.165 108.137.162.208
99prep.telkomsel.com 202.3.208.235
dashboard.99prep.telkomsel.com 202.3.208.235
m.99prep.telkomsel.com 202.3.208.235
99usahaku.telkomsel.com 202.3.208.119
accounts.telkomsel.com 202.3.208.108
aces.telkomsel.com 114.124.161.73
eas1.aces.telkomsel.com 114.124.162.23
ads.telkomsel.com 114.121.254.6
adserver.telkomsel.com 43.255.196.234
advertising.telkomsel.com 202.3.218.133
agentdashboard.telkomsel.com 43.255.196.199
ams-1-aces.telkomsel.com 114.124.161.75
ams-1-cloudx.telkomsel.com 114.124.161.75
ams-1-testfly.telkomsel.com 114.124.161.77
ams-2-aces.telkomsel.com 114.124.161.76
ams-2-cloudx.telkomsel.com 114.124.161.76
ams-2-testfly.telkomsel.com 114.124.161.78
ams-3-cloudx.telkomsel.com 114.124.162.21
api.telkomsel.com 43.255.196.15
api-dsc.telkomsel.com 43.255.196.144
api-eni.telkomsel.com 202.3.208.163
test.api.telkomsel.com 43.255.196.16
apioms.telkomsel.com 43.255.196.33
token.auth.telkomsel.com 43.255.196.38
auth2.telkomsel.com 43.255.196.38
b2bcorporate.telkomsel.com 202.3.219.68
b2bcorporateapi.telkomsel.com 202.3.219.69
speedtest.batam.telkomsel.com 182.2.1.5
bianka.telkomsel.com 43.255.196.149
blog.telkomsel.com 202.3.208.229
businessconnect.telkomsel.com 202.3.219.150
carddelivery.telkomsel.com 43.255.196.212
career.telkomsel.com 43.255.196.147
career-page.telkomsel.com 43.255.196.147
cascade.telkomsel.com 43.255.196.195
ccp.telkomsel.com 202.3.208.110
dev-aws.ciam.telkomsel.com 108.137.95.200
preprod-aws.ciam.telkomsel.com 108.137.107.87
claudia.telkomsel.com 43.255.196.54
cloudmax.telkomsel.com 116.206.197.232
admin.cloudmax.telkomsel.com 116.206.197.173
api.cloudmax.telkomsel.com 116.206.197.233
kibana.cloudmax.telkomsel.com 116.206.196.196
provisioner.cloudmax.telkomsel.com 116.206.197.227
reports.cloudmax.telkomsel.com 116.206.197.173
cloudx.telkomsel.com 114.124.162.22
eas1.cloudx.telkomsel.com 114.124.162.13
eas2.cloudx.telkomsel.com 114.124.162.14
eas3.cloudx.telkomsel.com 114.124.162.15
eas4.cloudx.telkomsel.com 114.124.162.16
eas5.cloudx.telkomsel.com 114.124.162.17
siprec.cloudx.telkomsel.com 114.124.160.172
siprec1.cloudx.telkomsel.com 114.124.160.173
cloudxdashboard.telkomsel.com 43.255.196.237
dev.cloudxdashboard.telkomsel.com 43.255.196.247
conference-cloudx.telkomsel.com 114.124.161.74
conference-testfly.telkomsel.com 114.124.161.77
connectinc.telkomsel.com 43.255.196.140
coupon.telkomsel.com 202.3.218.132
creditinsightapi.telkomsel.com 43.255.196.77
cvd.telkomsel.com 202.3.208.199
dcore-dev.telkomsel.com 43.255.197.2
carina.dctc.telkomsel.com 202.3.208.58
ciam.dctc.telkomsel.com 43.255.197.191
digipos.dctc.telkomsel.com 202.3.208.55
payment.dctc.telkomsel.com 202.3.208.246
tdw.dctc.telkomsel.com 43.255.199.17
tdwcontent.dctc.telkomsel.com 43.255.196.163
speedtest.denpasar.telkomsel.com 114.122.128.70
dev1.telkomsel.com 202.3.208.219
